2025-11-08T13:55:15+01:00 | device=esp32meter | prev_total='1.452735' | reported_total=NULL | reported_current=0.039125 | computed_current=0.039125 | store_total=1.4918600000000002
2025-11-08T13:55:18+01:00 | device=esp32meter | prev_total='1.491860' | reported_total=NULL | reported_current=0.038559 | computed_current=0.038559 | store_total=1.530419
2025-11-08T13:55:21+01:00 | device=esp32meter | prev_total='1.530419' | reported_total=NULL | reported_current=0.040306 | computed_current=0.040306 | store_total=1.570725
2025-11-08T13:55:24+01:00 | device=esp32meter | prev_total='1.570725' | reported_total=NULL | reported_current=0.039087 | computed_current=0.039087 | store_total=1.609812
2025-11-08T13:55:29+01:00 | device=esp32meter | prev_total='1.609812' | reported_total=NULL | reported_current=0.038938 | computed_current=0.038938 | store_total=1.64875
2025-11-08T13:55:32+01:00 | device=esp32meter | prev_total='1.648750' | reported_total=NULL | reported_current=0.039475 | computed_current=0.039475 | store_total=1.6882249999999999
2025-11-08T13:55:34+01:00 | device=esp32meter | prev_total='1.688225' | reported_total=NULL | reported_current=0.039905 | computed_current=0.039905 | store_total=1.7281300000000002
2025-11-08T13:55:37+01:00 | device=esp32meter | prev_total='1.728130' | reported_total=NULL | reported_current=0.035348 | computed_current=0.035348 | store_total=1.7634779999999999
2025-11-08T13:55:40+01:00 | device=esp32meter | prev_total='1.763478' | reported_total=NULL | reported_current=0.038832 | computed_current=0.038832 | store_total=1.80231
2025-11-08T13:55:43+01:00 | device=esp32meter | prev_total='1.802310' | reported_total=NULL | reported_current=0.039472 | computed_current=0.039472 | store_total=1.841782
2025-11-08T13:55:45+01:00 | device=esp32meter | prev_total='1.841782' | reported_total=NULL | reported_current=0.038857 | computed_current=0.038857 | store_total=1.880639
2025-11-08T13:55:48+01:00 | device=esp32meter | prev_total='1.880639' | reported_total=NULL | reported_current=0.039078 | computed_current=0.039078 | store_total=1.919717
2025-11-08T13:55:51+01:00 | device=esp32meter | prev_total='1.919717' | reported_total=NULL | reported_current=0.039063 | computed_current=0.039063 | store_total=1.95878
2025-11-08T13:55:53+01:00 | device=esp32meter | prev_total='1.958780' | reported_total=NULL | reported_current=0.039061 | computed_current=0.039061 | store_total=1.997841
2025-11-08T13:55:56+01:00 | device=esp32meter | prev_total='1.997841' | reported_total=NULL | reported_current=0.037747 | computed_current=0.037747 | store_total=2.035588
2025-11-08T13:55:59+01:00 | device=esp32meter | prev_total='2.035588' | reported_total=NULL | reported_current=0.038936 | computed_current=0.038936 | store_total=2.0745240000000003
2025-11-08T13:56:02+01:00 | device=esp32meter | prev_total='2.074524' | reported_total=NULL | reported_current=0.040133 | computed_current=0.040133 | store_total=2.114657
2025-11-08T13:56:04+01:00 | device=esp32meter | prev_total='2.114657' | reported_total=NULL | reported_current=0.037543 | computed_current=0.037543 | store_total=2.1521999999999997
2025-11-08T13:56:10+01:00 | device=esp32meter | prev_total='2.152200' | reported_total=NULL | reported_current=0.038829 | computed_current=0.038829 | store_total=2.1910290000000003
2025-11-08T13:56:12+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:56:18+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:56:22+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:56:25+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:56:28+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:56:31+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:56:34+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:56:36+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:56:39+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:56:42+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:56:45+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:56:47+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:56:50+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:56:56+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:56:58+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:01+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:04+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:06+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:09+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:12+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:15+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:20+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
2025-11-08T13:57:23+01:00 | device=esp32meter | prev_total='2.191029' | reported_total=NULL | reported_current=0.0 | computed_current=0.0 | store_total=2.191029
